Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Myeloid Cell Development (GO:0061515)	1/27	4.363495e-02	9.401758e-02	0	0	2.396755e+01	7.506389e+01	ALAS2
GO_Biological_Process_2023	Iron-Sulfur Cluster Assembly (GO:0016226)	1/27	4.363495e-02	9.401758e-02	0	0	2.396755e+01	7.506389e+01	GLRX5
GO_Biological_Process_2023	Pyroptosis (GO:0070269)	1/28	4.521508e-02	9.545407e-02	0	0	2.307870e+01	7.145916e+01	IFI27
GO_Biological_Process_2023	Negative Regulation Of Type II Interferon Production (GO:0032689)	1/28	4.521508e-02	9.545407e-02	0	0	2.307870e+01	7.145916e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Muscle Contraction (GO:0006937)	1/29	4.679268e-02	9.779671e-02	0	0	2.225335e+01	6.814038e+01	MYL9
GO_Biological_Process_2023	Amide Transport (GO:0042886)	1/32	5.151033e-02	1.062488e-01	0	0	2.009677e+01	5.960649e+01	SLC14A1
GO_Biological_Process_2023	Cardiac Muscle Contraction (GO:0060048)	1/33	5.307785e-02	1.062488e-01	0	0	1.946777e+01	5.715730e+01	MYL4
GO_Biological_Process_2023	Positive Regulation Of T Cell Mediated Cytotoxicity (GO:0001916)	1/33	5.307785e-02	1.062488e-01	0	0	1.946777e+01	5.715730e+01	HLA-DRB1
GO_Biological_Process_2023	Regulation Of Activated T Cell Proliferation (GO:0046006)	1/33	5.307785e-02	1.062488e-01	0	0	1.946777e+01	5.715730e+01	CLC
GO_Biological_Process_2023	Protein Polyubiquitination (GO:0000209)	2/226	5.337856e-02	1.062488e-01	0	0	5.686348e+00	1.666297e+01	IFI27;TRIM58
GO_Biological_Process_2023	Cellular Response To Lipid (GO:0071396)	2/228	5.421982e-02	1.067323e-01	0	0	5.635455e+00	1.642571e+01	PPBP;PF4V1
